Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes,Ligero/Poderoso,Débil/Ácido,Amable/Con Burbujas,Taste_Notes_1_1,Taste_Notes_1_2,Taste_Notes_1_3,Taste_Notes_2_1,Taste_Notes_2_2,Taste_Notes_2_3,Taste_Notes_3_1,Taste_Notes_3_2,Taste_Notes_3_3
https://www.vivino.com/ES/es/floriano-cinti-pignoletto-frizzante-colli-bolognesi/w/1889723,1889723,Pignoletto Frizzante,No disponible,Italia,Colli Bolognesi,Floriano Cinti,Vino espumoso,Grechetto,12.06,3.4,No disponible,"Aperitivos y tentempiés, Aperitivo",4.0,4.0,6.5,cítrico,pomelo,limón,piedra,pimienta verde,menta,piedra,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/velenosi-gran-cuvee/w/1220991,1220991,Gran Cuvée,No disponible,Italia,Marche,Velenosi,Vino espumoso,Pinot Nero,19.27,3.7,No disponible,"Aperitivos y tentempiés, Aperitivo",3.9,5.0,6.0,tostada,almendra,canela,tabaco dulce,menta,mora,cítrico,limón,polvo de vainilla
https://www.vivino.com/ES/es/domaine-des-grottes-brut-de-cuve/w/2452211,2452211,Brut de Cuve,No disponible,Francia,Beaujolais Nouveau,Domaine des Grottes,Vino espumoso,Gamay,19,3.9,12,"Marisco, Aves, Aperitivos y tentempiés, Pescado blanco, Aperitivo",4.0,6.1,5.9,fresa,frambuesa,cereza,terroso,minerales,cuero,canela,regaliz,pimiento
https://www.vivino.com/ES/es/freixenet-cordon-negro-gran/w/4277964,4277964,Cordón Negro GranN.V.,No disponible,España,Cava,Freixenet,Vino espumoso,"Macabeo, Xarel-lo, Parellada",8.49,3.5,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.7,5.5,6.3,cítrico,limón,piedra,menta,polvo de vainilla,polvo de vainilla,ajedrea,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/diez-siglos-canto-5-frizze/w/1981004,1981004,Canto 5 Frizzé,No disponible,España,Rueda,Diez Siglos,Vino espumoso,Verdejo,5.20,3.8,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo",2.7,4.3,6.0,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/mas-candi-segunyola-corpinnat-brut-nature/w/7274719,7274719,Segunyola Corpinnat Brut Nature,No disponible,España,Cataluña,Mas Candi,Vino espumoso,No disponible,17.20,3.8,No disponible,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.8,5.0,5.6,piedra,menta,menta,cítrico,limón,piedra,tabaco dulce,almendra,No disponible
https://www.vivino.com/ES/es/leone-de-castris-i-mille/w/1458052,1458052,I MilleN.V.,No disponible,Italia,Puglia,Leone de Castris,Vino espumoso,Aleatico,12.26,3.7,5,"Aperitivos y tentempiés, Aperitivo",4.0,4.0,6.5,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/biancavigna-cuvee-spumante-veneto/w/3523838,3523838,Cuveé Spumante,No disponible,Italia,Véneto,BiancaVigna,Vino espumoso,"Garganega, Glera",9.90,3.6,5,"Aperitivos y tentempiés, Aperitivo",3.7,4.7,6.1,pimienta verde,piedra,mora,cítrico,pomelo,limón,cítrico,clavo de olor,polvo de vainilla
https://www.vivino.com/ES/es/masseria-del-feudo-sely/w/7564940,7564940,Sely,No disponible,Italia,Terre Siciliane,Masseria del Feudo,Vino espumoso,Nero d'Avola,15.58,4.1,5,"Aperitivos y tentempiés, Aperitivo",3.4,4.8,7.5,fresa,frutos rojos,polvo de vainilla,pimienta verde,polvo de vainilla,polvo de vainilla,ciruela,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/firmino-miotti-fondo-53/w/3742874,3742874,Fondo 53,No disponible,Italia,Breganze,Firmino Miotti,Vino espumoso,"Vespaiola, Gruaja, Marzemina Bianca",13.65,3.4,No disponible,"Aperitivos y tentempiés, Aperitivo",4.0,4.0,6.5,fresa,polvo de vainilla,polvo de vainilla,pomelo,polvo de vainilla,polvo de vainilla,minerales,polvo de vainilla,polvo de vainilla
