0,1,2,3,4,5,6,7,8,ID
fruta negra,mora,,polvo de vainilla,,,polvo de vainilla,,,10182075
chocolate,roble,vainilla,mora,cereza negra,romero,cereza,cereza roja,fresa,84862
roble,vainilla,chocolate,cereza,frambuesa,fresa,hierro,cacao,terroso,1158112
cereza,fresa,,polvo de vainilla,,,polvo de vainilla,,,9823185
heno,,,minerales,,,polvo de vainilla,,,8990836
mora,ciruela,frutos rojos,vainilla,chocolate,roble,cereza,frutos rojos,tofi,1200283
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,12072602
fruta negra,mora,fruta seca,roble,clavo de olor,tofi,pimienta,canela,romero,4607101
frambuesa,cereza,fruta seca,ceniza,terroso,humo,caramelo,tabaco,,7666071
terroso,cuero,trufa,cereza,frutos rojos,tofi,roble,vainilla,chocolate,1184699
chocolate,tabaco,tabaco,cereza negra,,,polvo de vainilla,,,1426994
casis,arándano,zarzamora,frutos rojos,,,cacao,,,6681349
cereza,fresa,frambuesa,roble,vainilla,chocolate,mora,mermelada,fruta seca,1143981
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,3495289
mora,mermelada,casis,cuero,aceite balsámico,,pimienta,canela,,1589301
vainilla,roble,cedro,ciruela,mora,fruta negra,cuero,aceite balsámico,,5901247
roble,chocolate,tabaco,pasas de uva negras,fruta seca,,cacao,terroso,humo,8902461
terroso,cuero,minerales,tabaco,roble,clavo de olor,cereza,frutos rojos,rosa seca,1899369
roble,chocolate,vainilla,ciruela,casis,fruta negra,cuero,terroso,minerales,1202814
roble,vainilla,chocolate,mora,ciruela,arándano,frambuesa,cereza,fruta seca,1783619
roble,vainilla,tabaco,mora,casis,arándano,cereza,frambuesa,fruta seca,9997
fruta negra,ciruela,mora,roble,,,arándano rojo,,,10938437
fresa,frutos rojos,,roble,caramelo,vainilla,terroso,cuero,,2891155
cereza negra,ciruela, ,cereza,cereza roja, ,regaliz,canela,pimiento,7287742
vainilla,roble,tabaco,cereza,frambuesa,cereza,cuero,terroso,suelo del bosque,21074
roble,vainilla,chocolate,casis,frutos del bosque,,grafito,aceite balsámico,,4362433
cereza,arándano rojo, ,fruta negra,ciruela pasa,,terroso,cuero,piedra,11145159
arándano rojo,granada,,pomelo,cítrico,,suelo del bosque,hierro,,6910000
roble,tabaco,vainilla,casis,ciruela,mora,cuero,terroso,humo,1874
mora,cereza negra,frambuesa,aceite balsámico,terroso,,café,roble,tabaco,9091520
roble,tabaco,cedro,cereza,frutos rojos,tofi,terroso,cuero,cacao,1812267
roble,tabaco,,frutos del bosque,,,polvo de vainilla,,,11045602
cereza,frambuesa,fruta seca,clavo de olor,roble,tofi,mora,cereza negra,ciruela,1715158
cereza,fresa,frutos rojos,ciruela,mermelada,casis,pimienta,tomillo,romero,1250658
cereza,frutos rojos,tofi,roble,chocolate,vainilla,pasas de uva negras,ciruela,,3049283
