0,1,2,3,4,5,6,7,8,ID
ciruela,mora,arándano,cuero,terroso,humo,cereza,frutos rojos,tofi,4255406
ciruela,mora,cereza Bing,cereza,frutos rojos,tofi,roble,tabaco,chocolate,1191268
grosella roja,frutos rojos,,terroso,suelo del bosque,,frutos del bosque,cereza,,1588519
fruta negra,ciruela,tofi,cereza,frutos rojos,nuez negra,chocolate,roble,vainilla,6207800
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,9177512
roble,vainilla,chocolate,ciruela,mora,fruta negra,humo,cuero,terroso,1133054
roble,vainilla,tabaco,cereza,frutos rojos,tofi,ciruela,mora,fruta negra,1181892
roble,,,polvo de vainilla,,,polvo de vainilla,,,8997997
roble,vainilla,chocolate,ciruela,mora,fruta negra,cereza,frutos rojos,tofi,15402
mora,ciruela,frutos rojos,cereza,frambuesa,fruta seca,cuero,terroso,humo,3847082
cereza,fresa,frutos rojos,terroso,minerales,hongo,roble,cedro,clavo de olor,2301192
roble,café,chocolate,mora,casis,ciruela,terroso,humo,aceite balsámico,1996598
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,3017312
cereza,fresa,frambuesa,cuero,terroso,alquitrán,roble,tabaco,vainilla,19264
cereza,frutos rojos,,suelo del bosque,cuero,,frutos del bosque,fruta seca,,7066638
roble,chocolate,vainilla,ciruela,mora,casis,cereza,frambuesa,fruta seca,1172644
ciruela,mora,frutos rojos,minerales,humo,terroso,roble,café,clavo de olor,2738546
mermelada,ciruela,arándano,cereza,arándano rojo, ,clavo de olor,roble,uva,5674216
roble,vainilla,tabaco,ciruela,mora,frutos rojos,cereza,frutos rojos,uva,1223574
casis,ciruela,,frutos rojos,,,pimienta,,,10446196
roble,café,chocolate,ciruela,mora,casis,cuero,terroso,humo,1942247
cuero,terroso,carne asada,cereza,frutos rojos,rosa seca,roble,chocolate,tabaco,1812590
cuero,humo,terroso,roble,cedro,tabaco,cereza,frutos rojos,uva,2290886
cereza,arándano rojo, ,cuero,piedra,clavo de olor,roble,,,1157650
cereza,frutos rojos,nuez negra,cuero,humo,terroso,roble,vainilla,chocolate,1447893
roble,tabaco,vainilla,cereza,frutos rojos,tofi,ciruela,mora,casis,5420148
terroso,cuero,suelo del bosque,roble,vainilla,chocolate,mora,casis,ciruela,1242248
fresa,frutos rojos,fresa,minerales,piedra,hierro,cereza negra,mora,arándano,7373857
frutos del bosque,cereza,,chocolate,café,mantequilla,cereza,fresa,frutos rojos,2343110
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,12309553
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,1261938
cereza,frambuesa,fruta seca,tabaco,bebida cola,roble,mora,cereza negra,frambuesa,1608001
vainilla,chocolate,caucho,casis,ciruela,,humo,,,7018001
cuero,terroso,hongo,cereza,frutos rojos,tofi,ciruela,cereza negra, ,77838
mora,ciruela,arándano,roble,tabaco,chocolate,cereza,frutos rojos,tofi,6007568
tabaco,vainilla,roble,arándano rojo deshidratado,arándano,,regaliz,casis,pimiento,1450216
ciruela pasa,pasas de uva negras,,polvo de vainilla,,,polvo de vainilla,,,1917050
cereza,frambuesa,fruta seca,terroso,cuero,minerales,mora,cereza negra,arándano,1364770
vainilla,roble,chocolate,mora,arándano,ciruela,terroso,cuero,piedra,2170468
cuero,terroso,humo,mora,cereza negra,frambuesa,roble,café,chocolate,1218405
cereza,,,cuero,,,polvo de vainilla,,,10016955
frambuesa,cereza roja,,chocolate,roble,pimiento,suelo del bosque,hierro,,1225921
roble,vainilla,café,fresa,frambuesa,frutos rojos,ciruela,mora,cereza Bing,90910
minerales,terroso,carne,cereza roja,cereza,,frutos del bosque,ciruela,,2681993
cedro,roble,tabaco,mora,ciruela,frambuesa,terroso,cuero,minerales,7156955
vainilla,roble,chocolate,casis,mora,ciruela,frambuesa,frutos rojos,,1861722
fruta negra,casis,ciruela,regaliz,,,vainilla,,,1657096
mora,ciruela,frutos rojos,roble,tabaco,vainilla,terroso,cuero,humo,1618995
casis,frutos del bosque,,carne de caza,solución salina,,granada,,,7038298
roble,chocolate,tabaco,ciruela,casis,mora,cuero,terroso,humo,2526715
regaliz,,,roble,,,polvo de vainilla,,,1108468
roble,vainilla,tabaco,mora,ciruela,frutos rojos,cereza,frutos rojos,tofi,2377892
mora,casis,ciruela,cereza,frambuesa,fruta seca,vainilla,chocolate,tiza,1251744
vainilla,chocolate,roble,ciruela,mora,fruta negra,cacao,cuero,minerales,2323905
salsa de fresa,tomillo,,terroso,cuero,humo,cereza,cereza Bing,cereza roja,2581167
pimienta verde,piedra,mora,cereza,frambuesa,fresa,fresa madura,,,9041652
cereza,,,minerales,,,polvo de vainilla,,,5531052
rosa seca,pétalo de rosa,,ciruela,fruta negra,,cacao,tabaco,,11171179
roble,cedro,chocolate,regaliz,pimienta,romero,cereza negra,frambuesa,,1766817
cereza,frutos rojos,tofi,ciruela,casis,cereza,terroso,cuero,minerales,1985548
roble,vainilla,chocolate,cereza,frutos rojos,tofi,ciruela,cereza negra, ,1133872
humo,cuero,minerales,cereza,frutos rojos,tofi,cereza negra,mora,frambuesa,3787795
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,4664983
mora,fruta negra,cereza,aceite balsámico,terroso,,cereza,arándano rojo, ,7268311
cereza,frambuesa,terroso,ciruela,,,cuero,,,1509192
fresa,arándano rojo,tofi,terroso,cuero,hongo,limón,limón,,6398358
frutos rojos,cereza,uva,roble,cedro,chocolate,cuero,terroso,carne,6375399
terroso,humo,cuero,frutos rojos,cereza,uva,ciruela,mora,zarzamora,2465660
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,4268757
cereza,frutos rojos,rosa seca,chocolate,cedro,roble,terroso,cuero,hongo,2412540
cereza,frambuesa,fresa,humo,terroso,hongo,roble,vainilla,tabaco,1123136
cereza negra,,,cuero,,,roble,,,4956564
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,8904835
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,12133600
mora,ciruela,cereza Bing,roble,vainilla,chocolate,cuero,piedra,terroso,1135346
roble,chocolate,tabaco,ciruela,mora,frutos rojos,frutos rojos,cereza,uva,1135358
queso,,,polvo de vainilla,,,polvo de vainilla,,,2306500
roble,vainilla,chocolate,mora,ciruela,fruta negra,cereza,frambuesa,fresa,4122
cedro,roble,tabaco,fruta negra,frutos del bosque,,cuero,minerales,,1153160
frutos rojos,,,polvo de vainilla,,,polvo de vainilla,,,2036050
roble,vainilla,tabaco,fruta negra,cereza negra,,cuero,aceite balsámico,,1167405
roble,tabaco,vainilla,ciruela,mora,casis,cuero,terroso,humo,1209296
arándano rojo,fresa,rosa seca,terroso,hongo,hierbas secas,roble,chocolate,tabaco,7190603
tomillo,orégano,romero,casis,fruta negra,casis,cereza,granada,arándano,7212030
roble,tabaco,vainilla,cuero,terroso,humo,cereza,frutos rojos,tofi,1247761
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,12034585
cereza,frutos rojos,rosa seca,frutos del bosque,mora,,pimienta molida,minerales,,5172158
roble,vainilla,tabaco,cereza,frutos rojos,tofi,cuero,terroso,minerales,1151535
cereza,arándano rojo, ,mentol,pimienta,caucho,roble,,,10742010
fresa,cereza,frambuesa,ciruela,mora,casis,terroso,cuero,humo,2786
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,12257060
cítrico,naranja,fruta seca,fresa,cereza,arándano,cuero,humo,,1108471
frutos del bosque,ciruela,,suelo del bosque,grafito,,frutos rojos,,,1219347
mora,ciruela,fruta negra,pimienta,regaliz,menta,terroso,cuero,humo,1245272
roble,vainilla,chocolate,mora,ciruela,fruta negra,cuero,terroso,humo,1989615
roble,vainilla,chocolate,mora,ciruela,fruta negra,cereza,frutos rojos,tofi,77021
rosa seca,granada, ,terroso,,,polvo de vainilla,,,10428248
casis,mora,cereza negra,tabaco,chocolate,roble,regaliz,pimienta,rosa seca,1520794
cereza,frutos rojos,tofi,roble,vainilla,tabaco,cuero,terroso,humo,22918
mora,ciruela,fruta negra,cuero,terroso,humo,roble,tabaco,chocolate,1239193
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,10554451
cereza,fresa,frutos rojos,mora,ciruela,fruta negra,terroso,minerales,humo,5480139
cereza roja,frutos rojos,,cuero,aceite balsámico,,cereza negra,mora,romero,2112243
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,10608337
roble,tabaco,vainilla,casis,cereza negra,casis,humo,cuero,minerales,1161096
roble,chocolate,vainilla,casis,ciruela,mora,cereza,frutos rojos,tofi,1165262
roble,café,vainilla,cereza,frutos rojos,tofi,fruta negra,mora,mermelada,1376955
cereza negra,frutos del bosque,,virutas,pizarra,,roble,,,9078249
roble,tabaco,vainilla,cuero,terroso,humo,mora,frutos del bosque,,1408328
roble,vainilla,chocolate,ciruela,mora,frutos rojos,cuero,terroso,humo,3774155
roble,vainilla,cedro,ciruela,frutos del bosque,,cereza,frutos rojos,tofi,1832930
cereza negra,frutos del bosque,,tabaco,vainilla,,humo,cacao,cuero,1226281
roble,vainilla,tabaco,cereza,frambuesa,fruta seca,mora,ciruela,fruta negra,15487
vainilla,roble,chocolate,cereza,frutos rojos,tofi,mora,frutos del bosque,,1214546
roble,tabaco,vainilla,cuero,terroso,humo,mora,frutos del bosque,,1897366
roble,vainilla,chocolate,cereza,frambuesa,fresa,minerales,terroso,alquitrán,6902623
mora,fruta negra,arándano,roble,chocolate,café,humo,terroso,cuero,91077
mora,cereza negra,frambuesa,cuero,aceite balsámico,,clavo de olor,roble,uva pasa,6245767
terroso,,,vainilla,,,polvo de vainilla,,,1164790
ciruela,cereza negra, ,frambuesa,frutos rojos,,roble,vainilla,cedro,1319449
roble,tabaco,cedro,mora,casis,ciruela,cuero,terroso,humo,779338
mora,ciruela,frutos rojos,roble,chocolate,tabaco,cereza,frutos rojos,tofi,1380962
cereza,frambuesa,cereza,suelo del bosque,hierro,,ciruela pasa,,,2005921
frambuesa,fresa,cereza,cuero,humo,suelo del bosque,cereza negra,fruta negra,,98098
roble,chocolate amargo,,humo,cuero,terroso,mora,ciruela,cereza Bing,1283529
roble,vainilla,tabaco,cuero,terroso,humo,cereza,frutos rojos,rosa seca,9634
cuero,hongo,alquitrán,tabaco,cedro,roble,cereza,frambuesa,fruta seca,7152
tabaco,roble,chocolate,cereza negra,casis,mora,menta,pimienta,eucalipto,1489566
frambuesa,frutos rojos,,pimienta,canela,salvia,roble,vainilla,chocolate,2118918
suelo del bosque,hierro,,grosella roja,cereza, ,mora,casis,arándano,1706334
fresa,cereza,frambuesa,canela,hierbas secas, ,aceite balsámico,hongo,,4769744
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,1463930
fresa,cereza,frambuesa,cuero,terroso,suelo del bosque,roble,vainilla,tabaco,79663
roble,tabaco,vainilla,frutos rojos,cereza,tofi,cuero,humo,terroso,1311293
roble,vainilla,tabaco,cuero,aceite balsámico,,fruta negra,ciruela,mora,1213831
frambuesa,fresa,cereza,cuero,minerales,humo,roble,cedro,clavo de olor,1510542
cereza negra,casis,casis,carne de caza,cítrico,,polvo de vainilla,,,3331648
roble,vainilla,tabaco,cuero,terroso,humo,ciruela,mora,casis,1647
roble,mantequilla,uva,minerales,humo,tiza,cereza,arándano rojo, ,1301889
cereza,fresa,frambuesa,terroso,cuero,hierbas secas,roble,tabaco,vainilla,8841949
higo seco,acelga,uva,pasas de uva negras,,,caramelo,tofi,,1642330
cuero,terroso,minerales,ciruela,cereza negra, ,cereza,frutos rojos,tofi,26424
vainilla,caramelo,café,hongo,mermelada de mora,,mora,frutos del bosque,,1309119
mora,ciruela,arándano,canela,pimienta,hierbas,grafito,humo,cuero,2283476
fresa,cereza,arándano,roble,tabaco,mantequilla,humo,minerales,hierro,2011965
hongo,cuero,minerales,frutos del bosque,fruta seca,,pimienta,regaliz,ajedrea,1650430
mora,cereza negra,arándano,humo,terroso,grafito,pimienta,pimienta blanca,,4588125
roble,chocolate,vainilla,fruta negra,ciruela,mora,cuero,terroso,humo,2299260
cereza,frambuesa,fruta seca,terroso,cuero,suelo del bosque,roble,vainilla,cedro,1099223
mora,casis,fruta negra,roble,chocolate,chocolate,cuero,terroso,minerales,1203783
roble,vainilla,tabaco,mora,ciruela,fruta negra,cuero,terroso,humo,1190733
mora,arándano,cereza,humo,sílex,minerales,cedro,clavo de olor,uva,8686114
cuero,minerales,trufa,frambuesa,frutos rojos,,roble,vainilla,tabaco,1840109
roble,vainilla,tabaco,cereza,frutos rojos,tofi,cuero,terroso,humo,2738318
roble,vainilla,tabaco,ciruela,mora,fruta negra,cuero,terroso,humo,8623
tabaco,roble,cedro,cuero,terroso,suelo del bosque,regaliz,canela,caramelo,98042
mora,fruta negra,casis,cuero,carne adobada,humo,chocolate amargo,chocolate,,4887121
frambuesa,fresa,cereza,terroso,hongo,cuero,vainilla,roble,clavo de olor,1689141
roble,vainilla,tabaco,ciruela,mora,cereza Bing,cuero,terroso,grafito,1100474
cuero,terroso,aceite balsámico,tabaco,cedro,roble,cereza,frutos rojos,tofi,1392293
mora,ciruela,arándano,minerales,terroso,cuero,roble,vainilla,chocolate,3887435
pimienta,,,casis,frutos del bosque,,cera de abeja,,,9109271
frutos rojos,,,almendra,,,café,,,1434393
vainilla,chocolate,roble,ciruela,mora,fruta negra,cuero,humo,terroso,1235721
fruta negra,arándano, ,cuero,terroso,carne asada,vainilla,tabaco,,2449329
terroso,hongo,suelo del bosque,arándano rojo,cereza, ,arándano,mora,cereza,2951746
casis,fruta negra,mora,tabaco,cedro,roble,humo,cuero,alquitrán,5837203
roble,vainilla,tabaco,cereza,frutos rojos,tofi,ciruela,mora,frutos rojos,23097
ciruela,mora,casis,roble,vainilla,chocolate,cereza,fresa,frutos rojos,1223682
fruta negra,mora,ciruela,terroso,aceite balsámico,,frutos rojos,cereza,rosa seca,1420205
fresa,cereza,frutos rojos,terroso,hongo,humo,roble,tabaco,vainilla,73251
cereza,fresa,frutos rojos,terroso,cuero,humo,roble,vainilla,tabaco,1162372
roble,tabaco,clavo de olor,cereza,fresa,frutos rojos,cuero,terroso,minerales,6735439
cuero,humo,terroso,mora,fruta negra,ciruela,pimienta,regaliz,pimiento,1450149
mora,casis,fruta negra,roble,chocolate,tabaco,cuero,terroso,hongo,1251628
chocolate,roble,tabaco,cuero,terroso,humo,cereza negra,frutos del bosque,,81917
roble,cedro,café,casis,cereza negra,fresa,naranja,,,1462309
cereza roja,cereza,nuez negra,aceite balsámico,cuero,,fruta negra,ciruela,mora,6904764
cereza,fresa,cereza roja,mora,arándano,casis,roble,clavo de olor,uva,2703918
tabaco,chocolate,café,frutos del bosque,cereza,,carne de caza,cuero,humo,1360275
cereza,arándano rojo, ,cuero,suelo del bosque,,roble,mezcla de especias para vino caliente,,4000169
cereza,fresa,frambuesa,humo,cuero,minerales,cereza negra,casis,menta,5776781
terroso,cuero,grafito,mora,casis,ciruela,tabaco,roble,vainilla,1271830
fresa,cereza,frutos rojos,cuero,terroso,hongo,roble,vainilla,tabaco,1824933
roble,chocolate,tabaco,ciruela,mora,casis,cuero,terroso,humo,1065
cereza,frambuesa,fruta seca,humo,terroso,hongo,roble,bergamota,,1504225
frambuesa,frutos rojos,,terroso,hongo,minerales,vainilla,roble,cedro,1256454
terroso,cuero,humo,fresa,cereza,frambuesa,vainilla,roble,mantequilla,1222792
roble,tabaco,vainilla,cereza negra,frambuesa,mora,humo,terroso,,93162
ciruela,mora,fruta negra,cereza,frambuesa,fruta seca,roble,tabaco,vainilla,1159878
fresa,cereza roja,cuero,terroso,hongo,suelo del bosque,roble,vainilla,cuero,5987183
fresa,cereza,frambuesa,terroso,humo,suelo del bosque,roble,vainilla,tabaco,79681
cereza,frambuesa,cereza,chocolate,roble,tabaco,trufa negra,cuero,cuero,3740875
ciruela,fruta negra,rosa seca,roble,tabaco,chocolate,cuero,humo,terroso,7196077
frutos rojos,fresa madura,,pizarra,sal,,regaliz,,,1995070
mora,ciruela,fruta negra,cuero,terroso,minerales,roble,tabaco,vainilla,60364
roble,chocolate,tabaco,ciruela,mora,fruta negra,cuero,terroso,hongo,1099538
frambuesa,fresa,cereza,terroso,cuero,hongo,roble,vainilla,mantequilla,1128601
cereza,arándano rojo, ,terroso,suelo del bosque,,roble,vainilla,tabaco,1591084
cuero,humo,terroso,mora,casis,fruta negra,roble,tabaco,vainilla,20648
cereza,cereza roja,fresa,hongo,cuero,terroso,tabaco,vainilla,bebida cola,6422149
fresa,cereza,cereza roja,terroso,minerales,humo,roble,chocolate,tabaco,1614961
cereza,fresa,frambuesa,terroso,cuero,minerales,roble,vainilla,tabaco,1198460
tabaco,chocolate,roble,mora,ciruela,casis,cuero,terroso,humo,1101002
terroso,suelo del bosque,,frutos del bosque,ciruela,,roble,,,6629688
cuero,terroso,hongo,roble,tabaco,cedro,frutos rojos,frambuesa,,1245309
roble,vainilla,chocolate,ciruela,mora,frutos rojos,pimienta,pimienta blanca,,16150
cuero,alquitrán,cuero,cereza,frutos rojos,tofi,tabaco,roble,vainilla,1297902
roble,vainilla,tabaco,cereza,frutos rojos,tofi,cuero,terroso,humo,1654
roble,tabaco,vainilla,cuero,terroso,humo,casis,mora,casis,1645929
fruta negra,casis,ciruela,chocolate amargo,tabaco,,cuero,terroso,,7283838
mora,ciruela,frutos rojos,roble,vainilla,chocolate,cuero,minerales,humo,1198951
ciruela,mora,frambuesa,anís,regaliz,pimienta,clavo de olor,vainilla,,7604685
roble,vainilla,tabaco,cuero,humo,minerales,cereza,frambuesa,fruta seca,1126961
fresa,frambuesa,cereza,terroso,humo,cuero,roble,vainilla,almizcle,1361982
roble,vainilla,clavo de olor,terroso,piedra,humo,cereza,cereza roja,tofi,2085063
cereza,frambuesa,cereza,fruta negra,ceniza,,cedro,tabaco,,3957098
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,10216357
cuero,terroso,alquitrán,roble,tabaco,vainilla,cereza,frambuesa,fruta seca,2035173
mora,ciruela,cereza Bing,roble,chocolate,cedro,cuero,grafito,terroso,9466312
casis,mora,casis,roble,tabaco,vainilla,cuero,terroso,humo,1107919
vainilla,roble,chocolate,cereza,fresa,frambuesa,ciruela,mora,cereza Bing,1899441
frutos rojos,,,heno,,,polvo de vainilla,,,3141910
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,13040636
cuero,piedra,humo,roble,vainilla,tabaco,mora,arándano,fruta negra,1292008
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,6475466
roble,vainilla,tabaco,cuero,terroso,humo,cereza,frutos rojos,tofi,9119
roble,vainilla,chocolate,cuero,hongo,humo,frambuesa,cereza,fruta seca,23352
ciruela,mora,fruta negra,cereza,frambuesa,fruta seca,cuero,terroso,hongo,1184545
cereza,frambuesa,fruta seca,terroso,cuero,minerales,mora,cereza negra,arándano,53124
roble,tabaco,vainilla,cuero,terroso,humo,cereza,frutos rojos,tofi,54214
terroso,cuero,humo,mora,arándano,fruta negra,cereza,frutos rojos,tofi,1126326
vainilla,roble,chocolate,casis,mora,cereza negra,regaliz,pimienta,pimiento,9316902
cuero,minerales,humo,frambuesa,cereza,,casis,arándano,ciruela,779902
cereza,frambuesa,fruta seca,cuero,humo,,café,roble,vainilla,5919175
roble,vainilla,chocolate,terroso,cuero,humo,frutos rojos,fresa,cuero,1434669
roble,tabaco,vainilla,mora,ciruela,frutos rojos,cuero,terroso,humo,2183
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,12543951
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11458526
chocolate,café,,frutos rojos,,,naranja,,,1981084
cereza,frutos rojos,tofi,terroso,hongo,humo,roble,mantequilla,virutas,5707480
terroso,cuero,minerales,casis,fruta negra,mora,cereza,arándano rojo, ,1242068
frutos del bosque,casis,,cuero,terroso,humo,frambuesa,frutos rojos,,1156335
frambuesa,fresa,cereza,casis,ciruela,mora,terroso,ciruela pasa,,6318646
tabaco,roble,vainilla,cereza,frambuesa,fruta seca,ciruela,mora,casis,1177570
mora,casis,cereza negra,vainilla,roble,almizcle,pimienta,hierbas secas,,2806600
fresa,frambuesa,frutos rojos,minerales,terroso,nuez negra,canela,regaliz,pimiento,6225310
chocolate,roble,vainilla,ciruela,mora,cereza Bing,cereza,frutos rojos,tofi,5907977
roble,tabaco,vainilla,ciruela,mora,casis,cuero,terroso,humo,1755347
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,2051261
cacao,minerales,terroso,cereza negra,arándano,,roble,caramelo,almizcle,4080521
roble,vainilla,chocolate,mora,ciruela,casis,cuero,terroso,humo,1166307
cereza,frutos rojos,nuez negra,cuero,terroso,suelo del bosque,tabaco,roble,caramelo,5744491
roble,vainilla,chocolate,arándano,cereza negra,,terroso,pimienta molida,rosa seca,5577391
fruta negra,,,roble,,,polvo de vainilla,,,6001999
chocolate,roble,tabaco,regaliz,pimienta,,hongo,humo,,5871657
terroso,cuero,minerales,mora,fruta negra,cereza,roble,vainilla,tabaco,1142267
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11888885
cereza,fresa,,mora,arándano,ciruela,grafito,tabaco,,6472341
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11652456
frutos rojos,cereza,nuez negra,minerales,terroso,humo,clavo de olor,tabaco,,9654967
cereza,frambuesa,fruta seca,roble,tabaco,vainilla,cuero,terroso,hongo,1222394
cuero,terroso,alquitrán,cereza,frambuesa,fruta seca,roble,tabaco,vainilla,7255179
roble,vainilla,tabaco,mora,ciruela,fruta negra,cuero,terroso,humo,1163924
cereza,frambuesa,fruta seca,humo,carne adobada,rosa seca,vainilla,roble,tabaco,3999605
cereza,,,roble,,,polvo de vainilla,,,9880645
casis,mora,casis,terroso,cuero,humo,tabaco,roble,vainilla,6132986
cereza,frutos rojos,nuez negra,cuero,terroso,minerales,mora,frutos del bosque,,1214229
vainilla,chocolate,roble,ciruela,mora,arándano,cuero,terroso,humo,5242280
roble,vainilla,tabaco,cuero,,,arándano,,,9501881
mora,ciruela,casis,roble,vainilla,tabaco,terroso,cuero,minerales,1887223
mermelada,arándano,casis,carne de caza,cuero,humo,tabaco,cigarro,,9436772
frambuesa,frutos rojos,,ciruela,,,naranja,,,2563227
fresa,frutos rojos,cuero,mora,zarzamora,ciruela,cuero,terroso,suelo del bosque,1147003
terroso,cuero,hongo,arándano,mora,ciruela,cereza,frutos rojos,nuez negra,1492681
fresa,cereza,frutos rojos,terroso,cuero,minerales,frutos del bosque,arándano,,1894915
roble,café,cigarrera,ciruela,cereza negra, ,cuero,minerales,minerales,17126
mora,casis,casis,roble,tabaco,cedro,cuero,terroso,humo,91020
regaliz,pimienta blanca,,polvo de vainilla,,,polvo de vainilla,,,8767556
arándano rojo,,,polvo de vainilla,,,polvo de vainilla,,,10664380
roble,tabaco,,cereza negra,ciruela,,frutos rojos,,,2327836
mora,ciruela,fruta negra,vainilla,roble,tabaco,cuero,humo,terroso,2277749
cuero,humo,terroso,mora,ciruela,cereza Bing,roble,tabaco,vainilla,1126659
mora,cereza negra,ciruela,roble,vainilla,chocolate,pimienta,regaliz,pimiento,1263896
cereza,frutos rojos,tofi,vainilla,café,chocolate,canela,regaliz,mentol,9585830
frutos del bosque,ciruela,,vainilla,clavo de olor,,cereza,,,6715854
vainilla,roble,café,casis,fruta negra,mora,cuero,minerales,cuero,3427305
cereza,fresa,,tabaco dulce,,,pimienta,,,8758208
roble,vainilla,chocolate,mora,cereza negra,ciruela,cereza,frambuesa,fruta seca,6716161
cereza roja,cereza,fresa,bergamota,hinojo,regaliz,pimiento,grafito,tomate,7041855
roble,vainilla,chocolate,cuero,humo,minerales,fruta negra,mora,fruta seca,2230182
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11102871
ciruela,mora,fruta negra,roble,tabaco,vainilla,cuero,terroso,humo,2385006
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,10681048
roble,chocolate,vainilla,cuero,terroso,hongo,ciruela,mora,frutos rojos,1102060
roble,vainilla,chocolate,mora,ciruela,casis,cuero,humo,terroso,3933104
terroso,humo,carne de caza,tabaco,roble,cedro,cereza,frutos rojos,tofi,12818
mantequilla,roble,,cereza negra,,,canela,,,10761257
roble,tabaco,cedro,fruta negra,mora,casis,cuero,terroso,humo,1267338
fresa,frutos rojos,cuero,terroso,cuero,minerales,mora,ciruela,frutos rojos,1196345
fruta negra,mora,zarzamora,cuero,terroso,humo,roble,tabaco,chocolate,1674641
frutos rojos,,,cítrico,,,humo,,,2079257
cereza,frambuesa,fresa,terroso,cuero,suelo del bosque,caramelo,tabaco,vainilla,7748066
cuero,alquitrán,minerales,cereza,frambuesa,fruta seca,tabaco,chocolate,roble,1187207
regaliz,,,ciruela,,,cereza,,,8514907
cereza,frambuesa,fruta seca,terroso,humo,hongo,roble,vainilla,clavo de olor,79607
roble,tabaco,vainilla,fruta negra,mora,ciruela,cuero,humo,minerales,1192407
tabaco,roble,vainilla,ciruela,fruta negra,mora,cuero,terroso,humo,1127896
mora,ciruela,frutos rojos,tabaco,roble,vainilla,cereza,frambuesa,fruta seca,1133350
cereza,fresa,frambuesa,roble,vainilla,chocolate,ciruela,mora,cereza Bing,3645800
mora,ciruela,cereza Bing,terroso,cuero,grafito,tabaco,roble,chocolate,5012737
tabaco,roble,vainilla,cuero,terroso,aceite balsámico,ciruela,mora,cereza Bing,11733
roble,vainilla,chocolate,cuero,terroso,hongo,cereza,fresa,,1899478
cereza,fresa,cereza roja,hongo,terroso,suelo del bosque,canela,hierbas secas,,1231896
cereza,frambuesa,fruta seca,minerales,terroso,nuez negra,casis,mora,casis,4233913
cedro,chocolate,cigarro,cereza negra,mermelada,,higo,ciruela pasa,,9977833
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,12104313
casis,casis,,cuero,trufa negra,,cereza,frambuesa,,23137
terroso,hongo,grafito,mora,arándano,cereza,cereza,fresa,frutos rojos,3872268
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11295626
roble,vainilla,chocolate,cuero,humo,aceite balsámico,pimienta,menta,regaliz,5823227
mora,arándano,frutos rojos,roble,mezcla de especias para vino caliente,,pimienta,menta,,3052949
frambuesa,cereza,fresa,cuero,minerales,hongo,pimienta blanca,canela,,2493729
cuero,alquitrán,humo,cereza,frambuesa,fruta seca,mora,ciruela,zarzamora,1179618
mora,casis,fruta negra,roble,tabaco,vainilla,cuero,terroso,humo,2038572
cereza,frambuesa,fruta seca,roble,tabaco,cedro,terroso,cuero,alquitrán,9411017
tabaco,cedro,roble,cuero,terroso,humo,cereza,cereza roja,fresa,1112475
fresa,frutos rojos,cuero,roble,tofi,,mora,arándano,frutos rojos,8734628
tiza,hierro,minerales,mora,cereza negra,frambuesa,hierro,virutas,,9678243
roble,vainilla,chocolate,mora,ciruela,fruta negra,cuero,humo,terroso,1226803
roble,vainilla,mantequilla,mora,arándano,frutos rojos,cereza,fresa,,1146113
mora,casis,arándano,cuero,humo,cacao,tabaco,roble,vainilla,5805405
cuero,alquitrán,cuero,cereza,frutos rojos,tofi,tabaco,roble,cedro,77542
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,12328078
frambuesa,fresa,cereza,terroso,minerales,hongo,cedro,roble,mantequilla,2645712
pimienta,,,cuero,,,roble,tabaco,,6817250
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11766751
cuero,terroso,alquitrán,cereza,frutos rojos,tofi,roble,tabaco,chocolate,8569
cereza,fresa,frambuesa,terroso,cuero,minerales,cedro,roble,vainilla,2050776
cereza,frutos rojos,tofi,cuero,terroso,hongo,roble,café,vainilla,1188236
