,Precio,País_encoded,roble,cuero,polvo de vainilla,cereza,Ligero/Poderoso,Carneadobada,Seco/Dulce,NerelloMascalese,chocolate,Montepulciano,Cerdo,Quesodelechedecabra
22,0.0035362991283381753,0.5572015010562748,1.0,0.0,0.0,1.0,0.4117647058823529,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0
23,0.0020805232004245,0.2618128191556792,0.0,1.0,0.0,0.0,0.7294117647058823,0.0,0.06451612903225806,0.0,1.0,0.0,0.0,0.0
24,0.000647047962553206,0.2618128191556792,1.0,0.0,0.0,0.0,0.7176470588235293,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0
25,0.0004601157077861875,0.2618128191556792,1.0,0.0,0.0,0.0,0.7999999999999999,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0
26,0.00033877371784970183,0.2618128191556792,0.0,1.0,0.0,0.0,0.6823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.025082701125168194,0.5572015010562748,1.0,0.0,0.0,1.0,1.0,0.0,0.1935483870967742,0.0,1.0,0.0,1.0,0.0
28,0.0016341814482527244,0.5572015010562748,1.0,1.0,0.0,1.0,0.5176470588235295,0.0,0.06451612903225806,0.0,1.0,0.0,0.0,0.0
29,0.0003764881201272582,0.2618128191556792,1.0,1.0,0.0,0.0,0.6705882352941177,0.0,0.016129032258064516,0.0,1.0,0.0,0.0,0.0
30,0.0008634958364939642,0.2618128191556792,1.0,0.0,0.0,0.0,0.7058823529411764,0.0,0.14516129032258066,0.0,0.0,0.0,0.0,0.0
31,0.03156564290101806,0.5572015010562748,1.0,1.0,0.0,1.0,0.5764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0010405895515364027,0.46923927943539745,1.0,1.0,0.0,1.0,0.6235294117647059,1.0,0.1774193548387097,0.0,0.0,0.0,0.0,0.0
33,0.00046995424751076744,0.2618128191556792,1.0,1.0,0.0,1.0,0.6470588235294118,0.0,0.24193548387096775,0.0,1.0,0.0,0.0,0.0
34,0.0013029506108585339,0.5572015010562748,1.0,0.0,0.0,0.0,0.7647058823529411,0.0,0.14516129032258066,0.0,1.0,0.0,0.0,0.0
35,0.000837259730561751,0.45812194313344534,1.0,1.0,0.0,0.0,0.8470588235294118,0.0,0.1774193548387097,0.0,1.0,0.0,0.0,0.0
36,0.0009454836675321302,0.5572015010562748,0.0,0.0,0.0,1.0,0.6352941176470589,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0
37,0.0008056452229134343,0.46923927943539745,0.0,0.0,1.0,0.0,0.49411764705882355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.01126283232537494,0.5572015010562748,1.0,1.0,0.0,0.0,0.5176470588235295,0.0,0.2258064516129032,0.0,0.0,0.0,0.0,0.0
39,0.0013045903674792972,0.48190144794982537,1.0,1.0,0.0,0.0,0.7647058823529411,0.0,0.24193548387096775,0.0,1.0,0.0,0.0,0.0
40,0.0007815080054557981,0.5572015010562748,1.0,1.0,0.0,0.0,0.8117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.002528504709217039,0.5572015010562748,1.0,1.0,0.0,1.0,0.4588235294117647,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0
42,0.001085190931621165,0.5572015010562748,1.0,0.0,0.0,1.0,0.3764705882352941,0.0,0.04838709677419355,0.0,1.0,0.0,0.0,0.0
43,0.0010884704448626916,0.46923927943539745,1.0,0.0,0.0,0.0,0.6941176470588236,0.0,0.0967741935483871,0.0,0.0,0.0,1.0,0.0
44,0.0018801449413672225,0.2618128191556792,1.0,1.0,0.0,0.0,0.776470588235294,0.0,0.30645161290322576,0.0,1.0,0.0,0.0,0.0
45,0.001165211054714415,0.46923927943539745,0.0,1.0,0.0,0.0,0.6823529411764706,0.0,0.04838709677419355,0.0,1.0,0.0,0.0,0.0
46,0.0008293888987820872,0.46923927943539745,0.0,0.0,0.0,1.0,0.6,0.0,0.21290322580645163,0.0,1.0,0.0,0.0,0.0
47,0.00041354661975650923,0.46923927943539745,1.0,1.0,0.0,0.0,0.43529411764705883,0.0,0.0967741935483871,0.0,0.0,1.0,1.0,0.0
48,0.000519146946133667,0.45812194313344534,1.0,0.0,0.0,1.0,0.7411764705882352,0.0,0.14516129032258066,0.0,1.0,0.0,0.0,0.0
49,0.0021589035668969866,0.46923927943539745,1.0,1.0,0.0,1.0,0.7411764705882352,0.0,0.1129032258064516,0.0,0.0,0.0,0.0,0.0
50,0.0006709884092163504,0.46923927943539745,1.0,1.0,0.0,0.0,0.6470588235294118,1.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0
