,Aves,Carneadobada,Carnedecaza,Cerdo,Champiñones,Comidapicante,Cordero,Desconocido,Lacomidabasuravale,Maridajes,Nodisponible,Pasta,Pescadoazul,Pescadoblanco,Quesoazul,Quesocurado,Quesodelechedecabra,Quesotiernoycremoso,Ternera,Terneralechal,Vegetariana,ID
146,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,7666071
147,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1184699
148,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1426994
149,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,6681349
150,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1143981
151,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,3495289
152,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1589301
153,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,5901247
154,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,8902461
155,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1899369
156,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1202814
157,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1783619
158,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,9997
159,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,10938437
160,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2891155
161,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,7287742
162,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,21074
163,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4362433
164,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,11145159
165,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,6910000
